User_Query,Intent
Where is my order?,Order Tracking
I want to return my shoes,Return & Refund Policy
Are these jeans available in medium size?,Product Availability
What are your store hours?,Store Location/Hours
"Hi, I need help",General Greetings
Can I get a discount on bulk orders?,Unknown/Other
How long does delivery take?,Order Tracking
How do I return a damaged item?,Return & Refund Policy
Do you have iPhone cases in stock?,Product Availability
Is there a store near me?,Store Location/Hours
Hello!,General Greetings
"Bye, thanks for your help",General Greetings
Do you have customer support number?,Unknown/Other
My parcel hasn’t arrived yet,Order Tracking
I want to cancel my order,Return & Refund Policy
Can I pick up the item from your warehouse?,Store Location/Hours
Do you sell Samsung smartwatches?,Product Availability
Good morning,General Greetings
